City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Ribeira Grande,PT,2020-08-21 02:24:33,38.52,-28.7,69.96,82,92,17.67,overcast clouds
117,Flinders,AU,2020-08-21 02:24:33,-34.58,150.86,62.01,46,100,15.99,overcast clouds
118,Pevek,RU,2020-08-21 02:24:34,69.7,170.31,37.53,85,100,9.91,overcast clouds
119,Nanortalik,GL,2020-08-21 02:24:34,60.14,-45.24,44.71,74,0,1.61,clear sky
120,Sorgun,TR,2020-08-21 02:24:34,39.81,35.19,56.43,91,18,5.68,few clouds
121,Saskylakh,RU,2020-08-21 02:24:34,71.92,114.08,43.77,62,100,5.84,overcast clouds
122,Mokhsogollokh,RU,2020-08-21 02:24:34,61.47,128.92,61.72,43,0,5.17,clear sky
123,Carnarvon,AU,2020-08-21 02:24:34,-24.87,113.63,73.4,40,97,6.93,overcast clouds
124,Oum Hadjer,TD,2020-08-21 02:24:34,13.3,19.7,76.93,86,20,5.97,few clouds
125,Thompson,CA,2020-08-21 02:24:34,55.74,-97.86,66.2,55,20,4.7,few clouds
126,Kruisfontein,ZA,2020-08-21 02:24:35,-34.0,24.73,51.01,91,4,5.08,clear sky
127,Aklavik,CA,2020-08-21 02:22:00,68.22,-135.01,64.4,59,75,5.82,broken clouds
128,Vigrestad,NO,2020-08-21 02:24:35,58.57,5.7,62.01,88,33,3.0,scattered clouds
129,Haines Junction,CA,2020-08-21 02:24:35,60.75,-137.51,55.09,76,100,2.13,overcast clouds
130,Dasuya,IN,2020-08-21 02:24:35,31.82,75.66,79.39,80,98,3.96,light rain
131,Mehamn,NO,2020-08-21 02:24:35,71.04,27.85,46.62,82,17,6.85,few clouds
132,Dikson,RU,2020-08-21 02:24:35,73.51,80.55,44.64,76,0,17.4,clear sky
133,Kalnciems,LV,2020-08-21 02:24:36,56.8,23.61,59.0,93,100,1.12,overcast clouds
134,Ilulissat,GL,2020-08-21 02:24:36,69.22,-51.1,42.8,70,42,3.04,scattered clouds
135,Serenje,ZM,2020-08-21 02:24:36,-13.23,30.24,57.88,73,0,8.5,clear sky
136,Chapais,CA,2020-08-21 02:24:36,49.78,-74.85,53.6,93,90,2.24,overcast clouds
137,Bambous Virieux,MU,2020-08-21 02:24:36,-20.34,57.76,69.01,77,20,5.82,few clouds
138,Cefalu,IT,2020-08-21 02:24:36,38.04,14.02,75.0,77,0,1.99,clear sky
139,Mahajanga,MG,2020-08-21 02:24:36,-15.72,46.32,69.8,77,25,3.36,scattered clouds
140,Chopda,IN,2020-08-21 02:24:36,21.25,75.3,78.01,89,100,8.28,overcast clouds
141,Saint-Francois,FR,2020-08-21 02:24:37,46.42,3.91,78.8,39,28,11.41,scattered clouds
142,Quelimane,MZ,2020-08-21 02:24:37,-17.88,36.89,71.6,94,5,3.36,light rain
143,Mogok,MM,2020-08-21 02:24:37,22.92,96.5,72.75,84,95,1.19,overcast clouds
144,Mackay,AU,2020-08-21 02:24:37,-21.15,149.2,79.0,31,0,12.75,clear sky
145,Teguldet,RU,2020-08-21 02:24:37,57.31,88.17,58.64,61,100,5.95,overcast clouds
146,Fairbanks,US,2020-08-21 02:21:38,64.84,-147.72,73.4,53,75,6.93,broken clouds
147,Port Hardy,CA,2020-08-21 02:24:37,50.7,-127.42,60.8,93,90,9.17,moderate rain
148,Kahului,US,2020-08-21 02:20:11,20.89,-156.47,86.0,58,20,25.28,few clouds
149,Gualaco,HN,2020-08-21 02:24:38,15.05,-86.05,70.32,90,100,1.97,overcast clouds
150,Naze,JP,2020-08-21 02:24:38,28.37,129.48,89.6,75,20,5.82,few clouds
151,Havoysund,NO,2020-08-21 02:24:38,71.0,24.66,42.8,93,40,3.36,scattered clouds
152,Posse,BR,2020-08-21 02:24:38,-14.09,-46.37,72.99,35,0,6.08,clear sky
153,Gaya,IN,2020-08-21 02:24:38,24.78,85.0,80.6,88,75,5.82,mist
154,Tha Muang,TH,2020-08-21 02:24:38,13.96,99.64,84.38,66,100,5.14,overcast clouds
155,Katiola,CI,2020-08-21 02:24:39,8.13,-5.1,75.2,88,40,6.85,scattered clouds
156,Dingle,PH,2020-08-21 02:24:39,11.0,122.67,85.05,76,100,6.46,overcast clouds
157,Port Lincoln,AU,2020-08-21 02:24:39,-34.73,135.87,52.61,61,90,24.67,light rain
158,Dryden,CA,2020-08-21 02:24:39,49.78,-92.75,68.0,82,1,4.7,clear sky
159,El Alto,PE,2020-08-21 02:24:39,-4.27,-81.21,60.51,86,42,15.23,scattered clouds
160,Strezhevoy,RU,2020-08-21 02:24:39,60.73,77.59,50.0,93,90,8.95,overcast clouds
161,Puro,PH,2020-08-21 02:24:40,12.48,123.38,85.24,71,69,6.91,broken clouds
162,Loukhi,RU,2020-08-21 02:24:40,66.08,33.04,56.34,93,0,5.64,clear sky
163,Ossora,RU,2020-08-21 02:24:40,59.24,163.07,52.83,85,100,5.35,light rain
164,Cap-Aux-Meules,CA,2020-08-21 02:24:40,47.38,-61.86,64.4,68,5,11.41,clear sky
165,Cherskiy,RU,2020-08-21 02:24:40,68.75,161.3,45.52,57,96,15.48,overcast clouds
166,Egvekinot,RU,2020-08-21 02:24:40,66.32,-179.17,51.69,71,79,8.63,broken clouds
167,Umm Kaddadah,SD,2020-08-21 02:24:41,13.6,26.69,80.11,59,75,7.43,light rain
168,Recke,DE,2020-08-21 02:24:41,52.38,7.72,73.4,78,98,3.36,overcast clouds
169,Port Moresby,PG,2020-08-21 02:20:27,-9.44,147.18,84.2,66,40,17.22,scattered clouds
170,Malakal,SS,2020-08-21 02:24:41,9.53,31.66,72.27,92,64,1.41,broken clouds
171,Namwala,ZM,2020-08-21 02:24:41,-15.75,26.44,61.29,70,0,4.18,clear sky
172,Wangqing,CN,2020-08-21 02:24:41,43.32,129.76,71.58,44,100,2.19,overcast clouds
173,Rawson,AR,2020-08-21 02:24:41,-43.3,-65.1,50.5,54,0,5.37,clear sky
174,Koumac,NC,2020-08-21 02:24:42,-20.57,164.28,74.12,60,0,5.86,clear sky
175,Hermanus,ZA,2020-08-21 02:24:42,-34.42,19.23,46.99,96,4,3.0,clear sky
176,Bandarbeyla,SO,2020-08-21 02:24:42,9.49,50.81,76.26,78,0,27.04,clear sky
177,Broken Hill,AU,2020-08-21 02:24:05,-31.95,141.43,57.2,50,90,24.16,overcast clouds
178,Price,US,2020-08-21 02:22:42,39.6,-110.81,84.2,23,1,11.41,clear sky
179,Upata,VE,2020-08-21 02:24:42,8.01,-62.4,82.0,88,100,1.99,overcast clouds
180,Dalupaon,PH,2020-08-21 02:24:42,13.55,122.95,83.75,77,59,7.72,broken clouds
181,Faanui,PF,2020-08-21 02:24:43,-16.48,-151.75,77.9,78,27,22.44,scattered clouds
182,Najran,SA,2020-08-21 02:24:43,17.49,44.13,77.0,22,6,4.7,clear sky
183,Mount Isa,AU,2020-08-21 02:24:43,-20.73,139.5,75.2,15,0,11.41,clear sky
184,Hazorasp,UZ,2020-08-21 02:24:43,41.32,61.07,64.4,59,0,2.24,clear sky
185,Tivoli,IT,2020-08-21 02:24:43,41.96,12.8,72.0,73,0,3.47,clear sky
186,Kaeo,NZ,2020-08-21 02:24:43,-35.1,173.78,66.0,15,0,13.0,clear sky
187,Yenagoa,NG,2020-08-21 02:24:43,4.92,6.26,74.64,89,100,8.14,overcast clouds
188,Beringovskiy,RU,2020-08-21 02:24:44,63.05,179.32,55.58,69,46,15.95,scattered clouds
189,Finsterwalde,DE,2020-08-21 02:24:44,51.63,13.72,68.0,72,40,3.36,scattered clouds
190,Lompoc,US,2020-08-21 02:24:44,34.64,-120.46,64.4,68,90,11.41,overcast clouds
191,Ferme-Neuve,CA,2020-08-21 02:24:44,46.7,-75.45,53.64,96,100,3.53,light rain
192,Lasa,IT,2020-08-21 02:24:44,46.62,10.7,54.0,100,90,2.13,fog
193,Yakima,US,2020-08-21 02:24:45,46.47,-120.67,87.01,32,20,12.75,few clouds
194,Nome,US,2020-08-21 02:24:45,64.5,-165.41,62.01,81,20,13.87,few clouds
195,Ahar,IR,2020-08-21 02:24:45,38.48,47.07,61.45,71,0,2.51,clear sky
196,Isangel,VU,2020-08-21 02:24:45,-19.55,169.27,84.2,62,20,5.82,few clouds
197,Quatre Cocos,MU,2020-08-21 02:24:45,-20.21,57.76,69.01,77,20,5.82,few clouds
198,Great Falls,US,2020-08-21 02:21:43,47.5,-111.3,71.6,43,1,3.36,clear sky
199,Turukhansk,RU,2020-08-21 02:24:46,65.82,87.98,60.48,77,0,12.17,clear sky
200,Edeia,BR,2020-08-21 02:24:46,-17.34,-49.93,69.19,54,0,16.8,clear sky
201,Tromso,NO,2020-08-21 02:24:46,69.65,18.96,42.8,93,20,4.7,few clouds
202,Karasjok,NO,2020-08-21 02:24:46,69.47,25.51,50.0,87,100,10.29,overcast clouds
203,Korla,CN,2020-08-21 02:24:46,41.76,86.15,68.0,79,11,15.14,few clouds
204,Tabas,IR,2020-08-21 02:24:46,33.6,56.92,86.0,16,0,2.24,clear sky
205,Voh,NC,2020-08-21 02:24:47,-20.97,164.7,77.61,54,0,7.18,clear sky
206,Dingzhou,CN,2020-08-21 02:24:47,38.51,115.0,77.0,47,0,2.24,clear sky
207,Sao Filipe,CV,2020-08-21 02:24:47,14.9,-24.5,76.15,78,38,8.55,scattered clouds
208,Scarborough,GB,2020-08-21 02:23:39,54.28,-0.4,59.0,76,54,1.01,broken clouds
209,Longyearbyen,SJ,2020-08-21 02:22:31,78.22,15.64,41.0,80,75,11.41,broken clouds
210,Utinga,BR,2020-08-21 02:24:47,-5.82,-35.4,75.2,94,40,6.93,shower rain
211,Los Llanos De Aridane,ES,2020-08-21 02:24:47,28.66,-17.92,71.6,78,0,8.05,clear sky
212,Pacific Grove,US,2020-08-21 02:24:48,36.62,-121.92,69.8,64,90,8.05,smoke
213,Elizabeth City,US,2020-08-21 02:23:12,36.29,-76.25,77.0,88,1,5.82,clear sky
214,Police,PL,2020-08-21 02:24:48,53.55,14.57,68.0,88,19,4.45,light rain
215,Namibe,AO,2020-08-21 02:24:48,-15.2,12.15,59.49,80,93,4.0,overcast clouds
216,Klaksvik,FO,2020-08-21 02:24:48,62.23,-6.59,57.2,82,60,5.82,broken clouds
217,Ojinaga,MX,2020-08-21 02:24:48,29.57,-104.42,96.8,18,1,8.05,clear sky
218,Sitka,US,2020-08-21 02:24:48,57.05,-135.33,66.2,59,20,11.41,few clouds
219,Sovetskoye,RU,2020-08-21 02:24:49,52.29,85.41,65.01,46,95,1.83,overcast clouds
220,Birao,CF,2020-08-21 02:24:49,10.28,22.79,70.93,90,0,2.48,clear sky
221,Krasnoselkup,RU,2020-08-21 02:24:49,65.7,82.47,59.2,80,0,9.4,clear sky
222,Kulu,TR,2020-08-21 02:24:49,39.1,33.08,59.72,53,0,9.6,clear sky
223,Kingaroy,AU,2020-08-21 02:24:49,-26.53,151.83,69.01,29,5,18.34,clear sky
224,Margate,GB,2020-08-21 02:24:50,51.38,1.39,70.0,92,78,3.0,light rain
225,Vieira De Leiria,PT,2020-08-21 02:24:50,39.87,-8.93,64.99,100,75,2.24,broken clouds
226,Prieska,ZA,2020-08-21 02:24:50,-29.66,22.75,40.26,58,22,4.09,few clouds
227,Port Augusta,AU,2020-08-21 02:24:50,-32.5,137.77,57.2,71,90,16.11,overcast clouds
228,Parsabad,IR,2020-08-21 02:24:50,39.65,47.92,64.4,93,0,2.24,clear sky
229,Hasaki,JP,2020-08-21 02:24:51,35.73,140.83,97.0,59,20,5.82,few clouds
230,Masallatah,LY,2020-08-21 02:24:51,32.62,14.0,73.17,85,0,10.96,clear sky
231,Skjervoy,NO,2020-08-21 02:24:51,70.03,20.97,50.32,74,6,2.33,clear sky
232,Richards Bay,ZA,2020-08-21 02:24:51,-28.78,32.04,56.97,89,0,5.28,clear sky
